"drug_concept_id","count"
501343,33
535714,1
543291,3
590342,114
596898,11
700253,8213
701322,50
702774,45
704599,961
704943,1
705103,980
705178,59
705944,243
708298,12044
711584,2163
713192,14
713823,169
715233,1264
715710,8
715997,1118
717136,580
718122,522
718583,1
719174,60
730548,79
732893,537
734275,90
734354,15996
740275,128
740910,63
742267,39
744740,17524
744798,89
753626,1694
757627,71
759740,9311
766209,1
778474,37
780444,96
780446,140
785649,1
786428,8
786443,1
789612,20
789621,12
789652,97
789653,8
793408,244
793469,1286
797399,6939
798834,1
798874,2541
836208,10
901845,87
902698,182
902722,154
902938,1
903643,1
903963,263
904453,578
904525,7
906780,93199
906914,139
911354,32313
911735,775
913782,74
914335,14606
915542,27
915855,29
915935,12
916005,2087
917205,1098
917336,1336
920301,14
923081,1007
923645,1739
924172,12
924566,31364
924939,26873
927478,2198
928110,2569
929435,2
929887,16912
930021,843
934075,110
936748,12692
937439,958
939259,950
939506,3158
939539,19586
939871,122
939881,1
940426,5299
942691,20
945286,85
948078,18154
950098,140
950637,1344
950696,39
951511,2652
952004,4
953076,125726
954688,49
954853,32
955583,13
955632,79599
956653,8
956874,11317
958134,41
961047,162
964339,2
966956,36
967823,428679
967861,156
968426,351
968467,4
970250,3680
974166,3608
974473,281
974474,110
974702,200
975125,6533
978555,175
984232,4
985247,62
985708,3
987245,25572
989482,1456
989878,3448
991382,14
991825,31
991855,142
991876,24080
992956,44568
993631,7001
994058,535
996416,1999
996625,12
997276,637
997881,711
998415,147
1000560,5610
1000632,44
1000772,10261
1036228,3661
1101554,375
1102527,16204
1103314,16433
1103359,27907
1107830,7
1110410,41212
1112807,11581
1114220,59
1115008,2712
1115572,31
1116031,73
1118084,3131
1124300,373
1124957,52942
1125315,12552
1126658,7070
1133201,46
1135766,450
1136422,151
1136487,242
1136980,39652
1139042,6862
1139179,21
1140643,3
1143374,2271
1146810,10557
1149196,2236
1149380,78
1150345,149
1150871,207
1153428,2515
1153928,1
1154029,61059
1154161,846
1154343,5152
1167322,976
1177480,117
1178665,18
1183554,2
1185922,227
1189458,1
1192710,41258
1195354,705
1201620,3808
1236607,46
1237049,206
1300673,60
1300978,14233
1301025,35346
1301065,5959
1301267,31
1303425,2158
1304048,7
1304107,255
1304565,7
1304643,306
1304850,2950
1304919,62
1305058,96
1305637,2
1307046,49
1307515,28
1307863,271
1308216,3
1308290,104
1308368,12
1308842,961
1309068,6
1309188,16
1309204,103
1309770,16
1309944,794
1310149,1621
1310317,260
1311078,109
1311409,35
1311799,2
1314002,3569
1314273,83
1314577,380
1314865,18
1314924,610
1314955,101
1315411,4673
1315865,24
1315942,243
1315946,270
1316262,83
1316269,77
1317640,641
1318011,27119
1318137,6910
1318853,761
1319133,27
1319193,161
1321341,2220
1322081,47
1322184,3866
1325363,141
1325608,59
1325611,26
1326115,1
1326303,1291
1328165,3468
1331247,36
1332418,30924
1332497,580
1332525,74
1332527,637
1333357,4
1334456,190
1336539,16
1336825,167
1336926,63
1337620,21423
1337720,123
1337860,432
1338005,2388
1338512,557
1340128,82
1341149,46
1341238,325
1341927,1399
1343039,77
1343346,38
1343916,2482
1344354,10
1344381,380
1344905,369
1346686,26
1346823,9184
1347384,239
1347450,6
1348265,59
1350310,709
1350504,272
1351541,145
1351557,805
1353011,39
1353256,546
1353766,2668
1354698,209
1354860,228
1358436,129
1359548,18
1361711,539
1363053,774
1363387,81
1366310,214
1367268,17271
1367500,9103
1367571,1400
1373225,245
1373928,90
1377141,270
1378382,399
1378509,24
1381253,1
1381504,188
1383851,646
1383925,269
1386695,313
1386957,3219
1387104,70
1388798,337
1388800,4
1389036,282
1394023,20
1395557,1
1396131,12991
1397141,11780
1397599,635
1398399,64
1436169,95
1436650,15
1436678,281
1500211,11
1502826,137
1502905,1999
1503297,13537
1503501,28
1504620,855
1506270,1249
1507835,173
1510813,3058
1511449,40
1513103,163
1516766,66
1516976,135
1517070,690
1517824,1
1518254,54528
1522957,603
1524674,31
1525215,704
1525741,58
1526479,133
1529331,483
1537655,29
1539403,929
1539469,35
1545958,15713
1548195,341
1548444,8
1548802,2
1550023,1879
1550557,2985
1551803,551
1551860,208
1552310,37
1554072,47
1555120,112
1559684,129
1560524,52
1567234,1579
1580747,1721
1583722,15
1592085,154
1594686,697
1596977,25532
1597756,11282
1636780,8
1703063,20
1703603,255
1703653,704
1703687,2545
1704139,373
1704183,225
1707164,12801
1707687,3056
1708880,375
1709170,3213
1710281,1585
1710446,113
1711246,3417
1713332,1130
1713671,520
1713694,263
1713930,33
1714165,21
1714277,313
1716903,2384
1717240,125
1717327,94
1717704,32
1717963,791
1718054,152
1728416,10
1734104,484
1735947,2753
1736887,177
1738366,1
1738521,3963
1741309,163
1742253,5016
1742432,650
1746114,118
1746940,93
1747005,52
1748975,936
1749008,4034
1749301,1479
1750087,2061
1750461,9
1750500,811
1754994,1588
1757803,41
1758392,1420
1759455,1097
1762711,50
1763204,1687
1768849,523
1771162,7847
1774470,9186
1774932,21691
1775741,428
1776684,230
1777087,50
1777806,4837
1778162,128
1782521,1410
1784749,10
1786055,216
1786842,3466
1790812,9054
1790868,99
1796435,293
1796458,298
1797513,7199
1799139,95
1836191,127
1836433,2316
1836449,1
1836948,46
19003472,2
19003491,151
19005046,1793
19005626,528
19007721,4
19008009,96
19008264,17
19009025,72
19009145,162
19009540,3
19009705,491
19010404,12
19010482,60
19010792,4
19011440,84
19011773,11439
19011853,20
19012565,486
19012598,9189
19012925,1794
19014202,255
19014341,25
19014878,36
19014977,2274
19015523,2
19015602,2201
19015726,296
19015768,75
19015802,122
19016749,6563
19017581,3
19017742,879
19018013,134
19018352,234
19019620,6239
19020367,706
19020994,34
19022946,26
19022956,256
19023453,234
19023454,130
19024728,219
19025198,7883
19026459,494
19027958,283
19028377,5
19028950,2
19029079,3
19029393,3017
19030059,1545
19030493,9399
19034275,25
19035631,177
19035704,1487
19036797,21
19037038,3228
19037596,332
19037833,1430
19038440,11
19040606,3
19041843,348
19041933,823
19042778,33
19043959,29
19044522,185
19044727,1117
19044986,55
19048026,255
19049038,60
19049105,1528
19050488,120
19054245,2
19054876,2
19055153,242
19055183,19
19057099,2
19058410,25
19058574,2
19058933,854
19059796,997
19061083,108
19061088,357
19063575,1247
19063874,87
19063928,169
19066894,7256
19066992,7805
19071236,103
19071361,8
19077093,435
